path,name,folder,ext,lines,size_bytes
desktop/src/stores/cue-maker.js,cue-maker.js,desktop,js,168,6039
desktop/src/utils/gamepad-bindings.js,gamepad-bindings.js,desktop,js,168,4851
scss/_profile.scss,_profile.scss,scss,scss,168,3088
desktop/src-tauri/bundle-resources/emubro-resources/platforms/psp/config.json,config.json,desktop,json,165,4724
emubro-resources/platforms/psp/config.json,config.json,emubro-resources,json,165,4724
js/settings/library-settings-modal/launcher-import-modal.js,launcher-import-modal.js,js,js,163,7141
js/runtime/gamepad-binding-utils.js,gamepad-binding-utils.js,js,js,162,5137
desktop/src-tauri/src/bridge_extensions/migration/theme_upload.rs,theme_upload.rs,desktop,rs,160,5310
js/theme-manager/theme-style-utils.js,theme-style-utils.js,js,js,160,7210
desktop/src-tauri/src/bridge_extensions/migration/emulator_config.rs,emulator_config.rs,desktop,rs,159,4992
README.md,README.md,Root,md,159,6485
desktop/src/components/UpdateCenterPanel.vue,UpdateCenterPanel.vue,desktop,vue,157,8687
scss/tools/_custom-shortcuts.scss,_custom-shortcuts.scss,scss,scss,157,3822
js/runtime/ui-utils.js,ui-utils.js,js,js,155,5186
scss/header/_base.scss,_base.scss,scss,scss,152,3766
scss/tools/_cover-downloader.scss,_cover-downloader.scss,scss,scss,152,4131
scss/_variables.scss,_variables.scss,scss,scss,152,5616
desktop/src/stores/shell-language.js,shell-language.js,desktop,js,151,4698
desktop/src-tauri/src/bridge_extensions/suggestions/relay/network.rs,network.rs,desktop,rs,150,5371
desktop/src/App.vue,App.vue,desktop,vue,150,4773
scripts/update-resources-manifest.js,update-resources-manifest.js,scripts,js,150,4801
desktop/src-tauri/bundle-resources/emubro-resources/platforms/scummvm/config.json,config.json,desktop,json,149,4278
emubro-resources/platforms/scummvm/config.json,config.json,emubro-resources,json,149,4278
desktop/src/utils/support-formatting.js,support-formatting.js,desktop,js,147,3883
desktop/src-tauri/bundle-resources/emubro-resources/emulators/epsxe/init_config/emulator.reg,emulator.reg,desktop,reg,145,3919
emubro-resources/emulators/epsxe/init_config/emulator.reg,emulator.reg,emubro-resources,reg,145,3919
desktop/src/utils/emulator-preferences.js,emulator-preferences.js,desktop,js,143,4375
js/game-manager/game-filters.js,game-filters.js,js,js,143,6213
scripts/cleanup-dev-ports.js,cleanup-dev-ports.js,scripts,js,142,3986
js/game-manager/game-card-elements.js,game-card-elements.js,js,js,141,7063
desktop/src-tauri/src/app_core/invoke/library_actions/relink.rs,relink.rs,desktop,rs,140,5649
desktop/src/stores/profile.js,profile.js,desktop,js,140,4376
desktop/index.html,index.html,desktop,html,138,5807
js/runtime/about-dialog.js,about-dialog.js,js,js,138,5650
desktop/src/stores/monitor-manager.js,monitor-manager.js,desktop,js,137,5518
desktop/src/components/ProfilePanel.vue,ProfilePanel.vue,desktop,vue,136,7044
js/language-manager/editor-view.js,editor-view.js,js,js,136,5071
js/theme-manager/background-editor-utils.js,background-editor-utils.js,js,js,136,6357
js/theme-manager/theme-modal-utils.js,theme-modal-utils.js,js,js,136,4721
desktop/src/components/LibraryCategoriesPanel.vue,LibraryCategoriesPanel.vue,desktop,vue,134,5510
desktop/src/utils/gamepad-metadata.js,gamepad-metadata.js,desktop,js,133,2714
js/language-manager/language-actions.js,language-actions.js,js,js,133,4395
desktop/public/community-window.html,community-window.html,desktop,html,132,3679
desktop/src-tauri/src/bridge_extensions/migration/downloads/emulator_rows.rs,emulator_rows.rs,desktop,rs,132,4062
desktop/src-tauri/src/bridge_extensions/migration/session.rs,session.rs,desktop,rs,132,3432
desktop/src-tauri/src/single_instance.rs,single_instance.rs,desktop,rs,132,3961
desktop/src-tauri/src/app_core/invoke/library_actions/tags.rs,tags.rs,desktop,rs,131,5434
js/language-manager/modal-events.js,modal-events.js,js,js,131,4158
desktop/src/stores/bios-manager.js,bios-manager.js,desktop,js,130,4150
js/settings/library-settings-modal/path-section-handlers.js,path-section-handlers.js,js,js,130,5905
desktop/src-tauri/bundle-resources/emubro-resources/platforms/3ds/config.json,config.json,desktop,json,128,3942
desktop/src-tauri/bundle-resources/emubro-resources/platforms/atari7800/config.json,config.json,desktop,json,128,3902
desktop/src/components/LibraryPathsPanel.vue,LibraryPathsPanel.vue,desktop,vue,128,5447
emubro-resources/platforms/3ds/config.json,config.json,emubro-resources,json,128,3942
emubro-resources/platforms/atari7800/config.json,config.json,emubro-resources,json,128,3902
desktop/src-tauri/bundle-resources/emubro-resources/platforms/windows/config.json,config.json,desktop,json,127,3628
emubro-resources/platforms/windows/config.json,config.json,emubro-resources,json,127,3628
desktop/src/utils/llm-settings.js,llm-settings.js,desktop,js,126,4367
desktop/vite.config.js,vite.config.js,desktop,js,125,3200
scss/header/_wrapper-media.scss,_wrapper-media.scss,scss,scss,125,3229
js/game-manager/emulator-runtime-actions.js,emulator-runtime-actions.js,js,js,123,5021
js/ui/text-input-dialog.js,text-input-dialog.js,js,js,122,4547
js/game-manager/game-search.js,game-search.js,js,js,121,5024
scripts/clear-windows-shell-cache.ps1,clear-windows-shell-cache.ps1,scripts,ps1,120,3795
desktop/src/components/EcmToolPanel.vue,EcmToolPanel.vue,desktop,vue,118,7264
js/theme-manager/background-config.js,background-config.js,js,js,116,4805
desktop/src/components/ShellAboutModal.vue,ShellAboutModal.vue,desktop,vue,115,4294
i18n.js,i18n.js,Root,js,115,3512
scss/_glass-effect.scss,_glass-effect.scss,scss,scss,115,3616
js/theme-manager/background-layer-editor.js,background-layer-editor.js,js,js,114,6938
desktop/src/styles/_tokens.scss,_tokens.scss,desktop,scss,113,3230
desktop/src/components/CoverDownloaderPanel.vue,CoverDownloaderPanel.vue,desktop,vue,112,6320
desktop/src/stores/gamepad-tester.js,gamepad-tester.js,desktop,js,111,3743
desktop/src-tauri/bundle-resources/emubro-resources/platforms/switch/config.json,config.json,desktop,json,110,3223
desktop/src-tauri/src/app_core/invoke/mod.rs,mod.rs,desktop,rs,110,3519
emubro-resources/platforms/switch/config.json,config.json,emubro-resources,json,110,3223
desktop/src-tauri/src/bridge_extensions/suggestions/tool_draft.rs,tool_draft.rs,desktop,rs,109,3306
desktop/src/components/LazyArtwork.vue,LazyArtwork.vue,desktop,vue,108,1941
js/theme-manager/theme-share-utils.js,theme-share-utils.js,js,js,108,3760
scss/games/_list.scss,_list.scss,scss,scss,107,2190
